Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2001     7    16    20     8     2.73    35.796430  -120.347810    10.24     2.66     2.90        11.02        13.13   21181714
2001     7    25     3     5    36.73    35.980010  -120.534950     7.75     1.22     1.29       232.31       120.10   21183320
2001     7    30    15    54    37.24    35.961340  -120.509390    11.03     1.77     1.81        44.00        43.72   21185609
2001     8     1     8    57    59.57    36.009510  -120.565450     5.53     0.89     1.19        13.49        61.24   21185954
2001     8     2    15    23    23.64    35.926980  -120.474690     5.07     0.75     0.94         3.40        43.30   21186231
2001     8    17    11    41    56.10    35.934060  -120.482860     5.13     0.70     1.03         4.21        48.36   21190065
2001     8    25     7     0    23.83    35.933230  -120.481680     5.07     0.82     1.02         6.19        49.77   21191152
2001     9     1    11     4    10.65    36.013960  -120.571050     4.70     1.23     1.31         7.33        37.66   21192117
2001     9     7     1     1    44.45    36.014300  -120.570110     6.09     1.04     1.12        43.15        79.21   21193009
2001     9    16    21    42     9.08    35.966740  -120.517260    10.95     2.45     2.43        38.68        23.58   21194249
2001     9    20    20     6     2.56    35.937160  -120.486000     5.57     2.26     2.26        76.08        34.80   21194856
2001     9    20    20    11    25.12    35.937680  -120.485340     5.38     1.13     1.17         5.12        36.35   21194857
2001    10     9    21    38    55.28    36.009980  -120.570310     2.44     1.84     1.92         4.04        18.58   21198167
2001    10    14     1    42     7.49    35.994580  -120.553800     4.96     1.29     1.37        14.08        44.46   21198661
2001    10    17     3    45    46.58    35.964430  -120.517470     7.20     1.74     1.57        32.91        40.50   21199024
2001    10    31     1    46     1.54    35.797340  -120.348890    10.18     2.98     2.95        11.68        10.19   21200721
2001    11     8    15     5    58.13    35.930480  -120.479090     4.86     1.82     1.68        44.39        41.90   21201838
2001    11    10     5    40    16.94    35.999730  -120.558100     4.47     1.79     1.74        13.82        29.11   21202018
2001    11    11     9    41    20.84    36.011920  -120.568380     4.93     2.02     1.96        14.23        24.18   21202167
2001    11    18    19     4    28.68    35.966090  -120.516830    10.95     1.04     1.33        18.18        59.43   21203102
2001    11    19     1    15    34.63    36.055440  -120.609890     4.38     2.09     2.07        32.15        30.04   30223852
2001    11    22     6    13    31.76    35.967140  -120.515210    10.92     1.86     1.86       101.13        53.27   21203547
2001    11    24    10    32    46.68    36.030220  -120.587090     4.65     1.49     1.52        19.71        41.92   21203768
2001    11    26    13    15     1.40    35.991510  -120.549810     4.78     1.74     1.78        21.99        35.34   30505111
